Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,average_rating
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,4.5
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,4.5
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,4.5
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,4.5
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,4.5
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,4.5
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013.0,4.5
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1996.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1996.0,4.5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016.0,4.5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016.0,4.5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1930.0,4.5
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2002.0,4.5
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1938.0,4.5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1981.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2005.0,4.5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2002.0,4.5
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1990.0,4.5
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2005.0,4.5
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1950.0,4.5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018.0,4.5
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1996.0,4.5
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014.0,4.5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,4.5
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998.0,4.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1989.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1989.0,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2010.0,4.4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2010.0,4.4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2010.0,4.4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2010.0,4.4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2010.0,4.4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992.0,4.333333333333333
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992.0,4.333333333333333
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992.0,4.333333333333333
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2007.0,4.3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2007.0,4.3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2007.0,4.3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2007.0,4.3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2007.0,4.3
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1968.0,4.285714285714286
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1968.0,4.285714285714286
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1968.0,4.285714285714286
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1968.0,4.285714285714286
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1968.0,4.285714285714286
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1968.0,4.285714285714286
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1968.0,4.285714285714286
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2004.0,4.25
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2004.0,4.25
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2004.0,4.25
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2004.0,4.25
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1957.0,4.25
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1957.0,4.25
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012.0,4.25
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012.0,4.25
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2008.0,4.25
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2008.0,4.25
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020.0,4.25
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020.0,4.25
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,4.166666666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,4.166666666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,4.166666666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,4.166666666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,4.166666666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980.0,4.166666666666667
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001.0,4.083333333333333
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001.0,4.083333333333333
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001.0,4.083333333333333
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001.0,4.083333333333333
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001.0,4.083333333333333
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001.0,4.083333333333333
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1995.0,4.055555555555555
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012.0,4.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012.0,4.0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990.0,4.0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990.0,4.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1960.0,4.0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2014.0,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996.0,4.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1999.0,4.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2016.0,4.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2006.0,4.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2006.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1961.0,4.0
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012.0,4.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1999.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1999.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1999.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1999.0,4.0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013.0,4.0
0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1985.0,4.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2009.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2002.0,4.0
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2008.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0,4.0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1984.0,4.0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1984.0,4.0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1984.0,4.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994.0,4.0
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2001.0,4.0
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2001.0,4.0
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2001.0,4.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2007.0,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2007.0,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2007.0,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2007.0,4.0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995.0,4.0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995.0,4.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2019.0,4.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2013.0,4.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2013.0,4.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2013.0,4.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1966.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2003.0,4.0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1984.0,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018.0,4.0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1950.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1932.0,4.0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1965.0,4.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1963.0,4.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1963.0,4.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981.0,4.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1942.0,4.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2011.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1980.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1985.0,4.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981.0,4.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981.0,4.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009.0,4.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2013.0,4.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2002.0,4.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1988.0,4.0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2005.0,4.0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2007.0,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016.0,4.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2004.0,3.875
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021.0,3.875
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021.0,3.875
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021.0,3.875
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021.0,3.875
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2007.0,3.875
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2007.0,3.875
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2007.0,3.875
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2007.0,3.875
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,3.8333333333333335
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2021.0,3.8333333333333335
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2021.0,3.8333333333333335
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2021.0,3.8333333333333335
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010.0,3.8
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2004.0,3.7857142857142856
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2004.0,3.7857142857142856
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2004.0,3.7857142857142856
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2004.0,3.7857142857142856
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2004.0,3.7857142857142856
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2004.0,3.7857142857142856
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2004.0,3.7857142857142856
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011.0,3.75
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011.0,3.75
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016.0,3.75
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016.0,3.75
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1966.0,3.75
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1966.0,3.75
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1979.0,3.75
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1979.0,3.75
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2013.0,3.75
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2013.0,3.75
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1999.0,3.75
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1999.0,3.75
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013.0,3.75
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013.0,3.75
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013.0,3.75
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013.0,3.75
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013.0,3.75
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013.0,3.75
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2009.0,3.75
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2009.0,3.75
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2011.0,3.75
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2011.0,3.75
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2011.0,3.75
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2011.0,3.75
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,2010.0,3.7
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000.0,3.6666666666666665
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000.0,3.6666666666666665
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000.0,3.6666666666666665
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1995.0,3.6666666666666665
